City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Mar Del Plata,AR,54.0,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
178,Sudogda,RU,56.28,overcast clouds,55.95,40.86,Барский луг
182,Hobart,AU,54.0,overcast clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
183,Cap Malheureux,MU,69.01,clear sky,-19.98,57.61,Pereybere Hotel & Spa
184,Zhigansk,RU,54.14,overcast clouds,66.77,123.37,Gostinichnyy Kompleks Aylgy
187,Rorvik,NO,53.1,few clouds,64.86,11.24,Hagaheim Seafishing
195,Aklavik,CA,55.4,few clouds,68.22,-135.01,Aklavik Inn
198,Atbasar,KZ,63.55,scattered clouds,51.8,68.33,"The Ritz-Carlton, Astana"
199,Hrodna,BY,53.67,broken clouds,53.69,23.83,Гостиница Семашко на Антонова
204,East London,ZA,60.31,scattered clouds,-33.02,27.91,Tu Casa
210,Frome,GB,54.0,broken clouds,51.23,-2.32,Premier Inn Frome hotel
215,Olavarria,AR,55.72,broken clouds,-36.89,-60.32,Hotel Santa Rosa
218,Clyde River,CA,50.0,few clouds,70.47,-68.59,Qamaq Hotel
219,Sehithwa,BW,69.17,clear sky,-20.47,22.72,MONLEK GUEST HOUSE
220,Tommot,RU,50.97,scattered clouds,58.96,126.29,Gostinitsa Tommot
225,Sitka,US,57.2,broken clouds,57.05,-135.33,Westmark Sitka
227,Areosa,PT,68.0,clear sky,41.72,-8.86,Hotel Flôr de Sal
230,Xining,CN,60.04,moderate rain,36.62,101.77,Super Leisure Hotel
239,Moron,AR,64.99,scattered clouds,-34.65,-58.62,Hotel Morón
246,Whitianga,NZ,63.0,clear sky,-36.83,175.7,Beachside Resort Whitianga
247,Itanhem,BR,67.42,few clouds,-17.17,-40.33,Hotel Resende
250,Suntar,RU,53.94,overcast clouds,62.14,117.63,Gostevoy Dom
255,Ondjiva,AO,63.99,scattered clouds,-17.07,15.73,SOS Motel
256,Roald,NO,55.4,clear sky,62.58,6.13,Flem Cabins
257,San Vicente,AR,67.96,clear sky,-26.62,-54.13,Complejo Turístico Farelluk
259,Plettenberg Bay,ZA,52.93,light rain,-34.05,23.37,Thanda Vista B&B
264,Joshimath,IN,61.43,clear sky,30.57,79.57,Shivalik Camps & Resort
267,Dragor,DK,60.01,broken clouds,55.59,12.67,Dragør Hotel & Apartments
269,Upington,ZA,50.0,clear sky,-28.45,21.26,River Place Manor
270,Muros,ES,60.01,clear sky,42.78,-9.06,Apartment Av. Castelao
273,Antofagasta,CL,57.2,broken clouds,-23.65,-70.4,Hotel Terrado Suites Antofagasta
274,Encruzilhada,BR,63.95,clear sky,-15.53,-40.91,Hotel e Restaurante Rio Pardo
275,Mount Isa,AU,69.8,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
280,Aksu,CN,69.67,broken clouds,41.12,80.26,Pudong Holiday Hotel
282,Summerside,CA,66.0,clear sky,46.4,-63.79,Summerside Motel & Cottages
283,Petropavlovsk-Kamchatskiy,RU,50.0,light intensity shower rain,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
284,Sept-Iles,CA,60.8,broken clouds,50.2,-66.38,Comfort Inn
286,Isiro,CD,66.92,light rain,2.77,27.62,Nova
294,Necochea,AR,51.01,scattered clouds,-38.55,-58.74,dyd -mar Hotel
301,Ayagoz,KZ,52.5,clear sky,47.97,80.44,Gostinitsa Nur
303,Simonesti,RO,55.4,broken clouds,46.33,25.1,KÚRIA VENDÉGHÁZ
304,Huarmey,PE,63.95,clear sky,-10.07,-78.15,Hotel Miramar
305,Luanda,AO,68.76,broken clouds,-8.84,13.23,EPIC SANA Luanda
308,Bernay,FR,55.0,overcast clouds,49.17,0.67,L’escale du Bohain
310,Bolshaya Rechka,RU,55.4,overcast clouds,51.95,104.74,Hotel Beliy ruchey
311,Yar-Sale,RU,54.5,overcast clouds,66.83,70.83,Yalemd
317,Monroe,US,70.0,overcast clouds,43.15,-77.68,Staybridge Suites Rochester University
318,Kaoma,ZM,68.59,scattered clouds,-14.78,24.8,KAOMA AIRPORT
324,La Paz,BO,59.0,few clouds,-16.5,-68.15,Ritz Apart Hotel
325,Miastko,PL,57.99,overcast clouds,54.0,16.98,Agro-Vita. Gospodarstwo agroturystyczne. Kapłan L.
329,Newport,GB,55.99,overcast clouds,51.59,-3.0,ibis budget Newport
332,Olga,RU,63.59,overcast clouds,43.74,135.29,Gostinitsa Rosmorport.
336,Leh,IN,52.07,clear sky,34.17,77.58,Hotel Ladakh Greens
346,Pisco,PE,64.4,few clouds,-13.7,-76.22,Hostal San Isidro Oficial
347,Jumla,NP,62.2,light rain,29.27,82.18,Hotel Sundar Rara Karnali
352,Olafsvik,IS,51.85,overcast clouds,64.89,-23.71,Hotel Olafsvik
354,Abong Mbang,CM,67.26,light rain,3.98,13.18,Hotel Delice Du Haut Nyong
361,Tapes,BR,63.34,overcast clouds,-30.67,-51.4,Cabanas Camping Union
363,San Juan,AR,64.8,few clouds,-31.54,-68.54,Hotel Provincial
366,Kosa,RU,54.21,light rain,59.94,55.0,Gostinitsa V Kose
367,Flin Flon,CA,59.0,light intensity shower rain,54.77,-101.86,Victoria Inn Flin Flon
372,Luwingu,ZM,62.35,scattered clouds,-10.26,29.93,"Mountain City Lodge. Luwingu, Zambia"
376,Galesong,ID,69.8,broken clouds,-5.32,119.37,Sapriadi Appy
378,Dali,CN,62.53,light rain,25.7,100.18,Dali Travelling With Hostel
379,Gannan,CN,61.92,overcast clouds,47.91,123.5,Gannan Supply and Marketing Cooperatives Hostel
385,Matagami,CA,62.6,broken clouds,49.75,-77.63,Hôtel Matagami
386,Prince George,CA,61.0,scattered clouds,53.92,-122.75,Canadas Best Value Inn Prince George
387,Pitsunda,GE,68.0,clear sky,43.16,40.34,Hotel FREEDOM
389,Yazykovo,RU,64.02,overcast clouds,55.22,56.14,Children's camp
393,Neuquen,AR,55.4,light rain,-38.95,-68.06,Hotel del Comahue
394,Bereznik,RU,53.24,light rain,62.86,42.71,coastal Hotel
398,Halifax,CA,69.01,few clouds,44.65,-63.57,Hotel Halifax
403,Norman Wells,CA,51.8,overcast clouds,65.28,-126.83,Heritage Hotel
406,Ak-Dovurak,RU,53.51,light rain,51.18,90.6,"Gostinitsa ""Cheleesh"""
407,Korla,CN,63.21,overcast clouds,41.76,86.15,Gulisitan Hotel
410,Nova Odesa,UA,61.9,clear sky,47.31,31.79,Серце Рєзічки
411,Khatanga,RU,55.49,clear sky,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
413,Gavle,SE,52.0,scattered clouds,60.67,17.14,Scandic CH
414,Bonga,ET,59.88,light rain,7.28,36.23,Harone Hotel ሀሮኔ ሆቴል
417,Vegueta,PE,63.03,few clouds,-11.02,-77.64,Hospedaje Gavión
418,Mehran,IR,69.8,clear sky,33.12,46.16,بوتیک زنانه بهار
419,Chachapoyas,PE,60.6,scattered clouds,-6.23,-77.87,Teresita
